emp_no,post,name,mail
10001,スマート部,安藤　はじめ,hajime-ando@hogehoge.com
10002,企画部,井本　綾子,ayako-imoto@hogehoge.com
10003,基盤技術部,伊藤　幸三,kozo-ito@hogehoge.com
10004,品質保証部,稲田　堤,tsutusumi-inada@hogehoge.com
10005,情報システム部,宇野　裕信,hironobu-uno@hogehoge.com
10006,基盤技術部,中岡　興一,koichi-nakaoka@hogehoge.com
10007,情報システム部,短田　護,mamoru-mijikada@hogehoge.com
10008,人事部,岡江　久美,kumi-okae@hogehoge.com
10009,人事部,村　嘉男,yoshio-mura@hogehoge.com
10010,品質保証部,加藤　たかし,takashi-kato@hogehoge.com
10011,人事部,加藤　幸三,kozo-kato@hogehoge.com
10012,情報システム部,河原　秀,shu-kawahara@hogehoge.com
10013,製造開発部,鶴橋　聡,akira-tsuruhashi@hogehoge.com
10014,基盤技術部,丸子　弘伸,hironobu-maruko@hogehoge.com
10015,情報システム部,吉田　斉一,seichi-yoshida@hogehoge.com
10016,技術部,北斗　剣士郎,kenshiro-hokuto@hogehoge.com
10017,海洋探検部,近藤　勇,isami-kondo@hogehoge.com
10018,情報システム部,熊谷　小百合,sayuri-kumagaya@hogehoge.com
10019,海洋探検部,結城　渡,wataru-yuki@hogehoge.com
10020,対話推進部,月岡　鉄斎,tessai-tsukioka@hogehoge.com
10021,人事部,健康　大輝,daiki-kenko@hogehoge.com
10022,基盤技術部,原田　正人,masato-harada@hogehoge.com
10023,鶴見基盤部,林　常徳,tsunenori-hayashi@hogehoge.com
10024,製造開発部,戸塚　祐治,yuji-totsuka@hogehoge.com
10025,基盤管理部,高橋　渡,wataru-takahashi@hogehoge.com
10026,スマート部,佐藤　一,hajime-sato@hogehoge.com
10027,人事部,佐藤　治,osamu-sato@hogehoge.com
10028,基盤技術部,佐賀　泰之,yasuyuki-saga@hogehoge.com
10029,鶴見基盤部,坂本　真広,masahiro-sakamoto@hogehoge.com
10030,人事部,坂田　陣治,jinji-sakata@hogehoge.com
10031,基盤管理部,桜庭　富士子,fujiko-sakuraba@hogehoge.com
10032,金融営業部,壇ノ浦　哲也,tetsuya-dannoura@hogehoge.com
10033,企画部,富吉　直美,naomi-tomiyoshi@hogehoge.com
10034,環境保全部,山　菜奈絵,nanae-yama@hogehoge.com
10035,環境保全部,山﨑　康,yasushi-yamazaki@hogehoge.com
10036,金融営業部,霜田　篤,atsushi-shimoda@hogehoge.com
10037,基盤保全部,柴田　勝家,katsuie-shibata@hogehoge.com
10038,基盤保全部,秋元　康,yasushi-akimoto@hogehoge.com
10039,製造開発部,出崎　鰹,katsuo-dezaki@hogehoge.com
10040,製造開発部,小松　志,kokorozashi-komatsu@hogehoge.com
10041,公共営業部,小田　和正,kazumasa-oda@hogehoge.com
10042,製造開発部,小島　厚,atsushi-kojima@hogehoge.com
10043,金融開発部,小野寺　浩二,koji-onodera@hogehoge.com
10044,基盤技術部,松原　敬,takashi-matsubara@hogehoge.com
10045,技術部,松山　高一,koichi-matsuyama@hogehoge.com
10046,技術推進部,松田　洋,yo-matsuda@hogehoge.com
10047,製造開発部,松尾 坂内,nannai-matsuo@hogehoge.com
10048,公共営業部,城戸　高一,koichi-kido@hogehoge.com
10049,鶴見基盤部,新田　一史,motofumi-nitta@hogehoge.com
10050,技術部,水下　昭,akira-mizushita@hogehoge.com
10051,製造開発部,日本　誠一,seiichi-japan@hogehoge.com
10052,人事部,水野 正,tadashi-mizuno@hogehoge.com
10053,製造開発部,杉浦　直樹,naoki-sugiura@hogehoge.com
10054,製造開発部,杉山　高一,koichi-sugiyama@hogehoge.com
10055,基盤開発部,杉山　友梨,yuri-sugiyama@hogehoge.com
10056,基盤開発部,瀬下　洋,hiroshi-seshita@hogehoge.com
10057,人事部,生瀬　浩紹,hirotsugu-namase@hogehoge.com
10058,品質保証部,西井 康,yasushi-nishii@hogehoge.com
10059,第2事業部,西本　眞,makoto-nishimoto@hogehoge.com
10060,決済開発部,源　静,shizuka-minamoto@hogehoge.com
10061,決済開発部,赤出汁　哲也,tetsuya-akadashi@hogehoge.com
10062,基盤技術部,足立　満,mitsuru-adachi@hogehoge.com
10063,ERP解決部,村川　和也,kazuya-murakawa@hogehoge.com
10064,人事部,蒲田　美貴,miki-kamata@hogehoge.com
10065,製造開発部,小丘　竜司,ryoji-syokyu@hogehoge.com
10066,製造開発部,池谷　満,mitsuru-iketani@hogehoge.com
10067,第2事業部,竹内　良,ryo-takeuchi@hogehoge.com
10068,決済開発部,中岡　政太郎,masataro-nakaoka@hogehoge.com
10069,対話推進部,中塩　慎,shin-nakashio@hogehoge.com
10070,金融開発部,中原　太陽,taiyo-nakahara@hogehoge.com
10071,第2事業部,中山　剛,tsuyoshi-nakayama@hogehoge.com
10072,基盤開発部,中西　真,makoto-nakanishi@hogehoge.com
10073,対話推進部,中村　光男,mitsuo-nakamura@hogehoge.com
10074,技術部,中谷　一,hajime-nakaya@hogehoge.com
10075,基盤管理部,神宮寺　辰五郎,tatsugoro-jinguji@hogehoge.com
10076,総務部,下村　明夫,akio-shimomura@hogehoge.com
10077,技術推進部,塚田　翔,sho-tsukada@hogehoge.com
10078,製造開発部,天野　宏,hiroshi-amano@hogehoge.com
10079,企画部,渡辺　高江,takae-watanabe@hogehoge.com
10080,品質保証部,藤巻　孝,takashi-fujimaki@hogehoge.com
10081,品質保証部,蜷川　正弘,masahiro-ninagawa@hogehoge.com
10082,基盤技術部,内藤　展利,hirotoshi-naito@hogehoge.com
10083,製造開発部,外村　栄賜,eiji-sotomura@hogehoge.com
10084,ERP解決部,萩原　敦彦,atsuhiko-hagiwara@hogehoge.com
10085,基盤管理部,八幡　哲夫,tetsuo-yahata@hogehoge.com
10086,総務部,浜田　隆,takashi-hamada@hogehoge.com
10087,基盤保全部,森田　義和,yoshikazu-morita@hogehoge.com
10088,対話推進部,片岡　茂剛,shigetaka-kataoka@hogehoge.com
10089,製造開発部,北山　熱男,atsuo-kitayama@hogehoge.com
10090,基盤技術部,長宗我部　修介,shusuke-chosokabe@hogehoge.com
10091,基盤技術部,槙田　典子,noriko-makita@hogehoge.com
10092,基盤技術部,野坂　昭如,akiyuki-nosaka@hogehoge.com
10093,鶴見基盤部,檜山　浩二,koji-hiyama@hogehoge.com
10094,人事部,濱田　浩一,koichi-hamada@hogehoge.com
10095,製造開発部,葭井　浩,hiroshi-yoshii@hogehoge.com
